id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16531877,Hibiscus Cabana with pool access!,108742749,Nadia,Corozal,Corozal,18.38716,-88.39378,Entire home/apt,119,2,30,2020-03-11,0.53,3,0,0,
16547945,Oasis Del Caribe #12 Beach Condo in Prime Location,107942109,Zack,Belize,Belize Islands,17.92808,-87.95924,Entire home/apt,393,3,18,2022-03-15,0.52,1,309,8,
16569650,Sunny Feeling Mini Apartment,84937380,Marta,Cayo,Cayo,17.25026,-88.76135,Private room,69,1,31,2020-01-22,0.50,7,346,0,
16580125,Casa Cafe Guest House,109284423,Matthew,Belize,Belize Islands,17.9356,-87.95951,Entire home/apt,756,3,41,2022-03-06,0.65,3,238,13,
16603236,See Belize BAYVIEW Bedroom w INFINITY POOL & Decks,84574598,Zenaida,Belize,Belize Mainland,17.53897,-88.24381,Entire home/apt,141,1,36,2020-01-18,0.57,7,363,0,
16614317,Bird's Eye View Lodge,109660372,Verna,Belize,Belize Mainland,17.77731,-88.53134,Private room,202,1,14,2022-01-18,0.23,1,363,2,
16645757,"Modern Home in Quiet Neighborhood w/ Balcony, WiFi, AC - Ideal for Day Trips",76414486,Vacasa Belize,Cayo,Cayo,17.1442,-89.07736,Entire home/apt,304,2,12,2022-02-01,0.21,244,358,4,
16674661,Beachfront condo in Paradise,9787335,Debbie,Stann Creek,Stann Creek Mainland,16.63878,-88.33283,Entire home/apt,252,2,32,2022-03-23,0.54,1,339,9,
16690144,"Mountain Side Home with a ""Homely Feel"".",110512261,Sheree,Cayo,Cayo,17.16532,-89.05292,Entire home/apt,111,2,23,2021-07-19,0.37,2,363,5,
16705140,D-lux D-town room w/Garage,4642236,Polo,Cayo,Cayo,17.16017,-89.06959,Private room,139,2,47,2021-02-26,0.79,5,364,0,
16730640,"Playa Del Sol Free Fishing, Snorkeling, Dining",38941553,Iz,Belize,Belize Islands,18.04712,-87.89341,Entire home/apt,475,5,5,2021-12-14,0.11,5,221,2,
16733603,The Chaos Oasis,61238221,Alisa,Toledo,Toledo Mainland,16.27625,-88.95288,Private room,101,1,8,2020-01-30,0.14,2,23,0,
16739849,"New Home w/ Balcony, WiFi, Partial AC & Great Neighborhood - Ideal for Day Trips",76414486,Vacasa Belize,Cayo,Cayo,17.14355,-89.07886,Entire home/apt,188,2,42,2022-03-07,0.70,244,352,15,
16749892,Modern Jungle Villa,105345185,Ydahlia,Cayo,Cayo,17.09845,-88.95095,Private room,214,1,7,2022-03-16,0.12,4,236,3,
16749940,Double Bedroom Villa with AC (Gold Standard ),38183609,Vanilla Hills,Cayo,Cayo,17.167734,-89.102798,Entire home/apt,588,1,1,2018-12-22,0.03,5,225,0,
16756245,"Air Condition Room, with shared baths, Room # 1",111045216,Mario,Belize,Belize Islands,17.76116,-88.02775,Private room,46,1,140,2022-03-06,2.24,11,224,14,
16769288,"Coco King Suite-Beach Front-1 BR, 1 BA, Ful Kit 24",71120105,Mike,Belize,Belize Islands,17.93601,-87.95194,Entire home/apt,443,2,20,2021-12-11,0.48,6,259,8,
16780001,Sugar Patch Inn is  stress free,25660184,Wayne,Stann Creek,Stann Creek Mainland,16.85106,-88.27838,Private room,171,1,6,2020-03-08,0.13,1,0,0,
16794186,| 5 Bedroom Panoramic Lakefront | Home Base in BZ,111623185,Rosie & William,Belize,Belize Mainland,17.56949,-88.30826,Entire home/apt,1008,3,1,2017-02-09,0.02,1,270,0,
16794992,Gold Standard 2 Bedrooms @ Casa De Cahal Pech,817242,Michael,Cayo,Cayo,17.14849,-89.07485,Private room,202,1,20,2021-05-06,0.33,11,353,1,
16797798,HomeHill Apartments/Vacation Rentals Apt. #5,111666560,Martin Alfonso,Cayo,Cayo,17.14861,-89.06984,Entire home/apt,111,2,52,2022-03-14,0.84,4,344,5,
16810498,"BAYSHORE Bijou Suites - ""PEARL Suite""",23621424,Wildmans,Stann Creek,Stann Creek Mainland,16.61466,-88.35432,Hotel room,171,2,46,2022-03-26,0.73,4,230,4,
16825630,"Spacious House,heart of Placencia minutes to beach",105701895,Merlene,Stann Creek,Stann Creek Mainland,16.54911,-88.36012,Entire home/apt,504,2,31,2020-02-16,0.49,1,0,0,
16842648,El Gran Mestizo #16 riverside cabin 2 double beds,18105807,Orlando,Orange Walk,Orange Walk,18.07164,-88.55449,Entire home/apt,105,1,104,2022-02-18,1.66,3,300,16,
16844447,Belize Homestead long term rental,97861043,Dee,Cayo,Cayo,17.2816,-89.08795,Entire home/apt,40,30,0,,,1,90,0,
16872719,"Chapito's 5 Clashing Winds,near The Split.Gold Std",911311,Hilda,Belize,Belize Islands,17.74835,-88.02483,Entire home/apt,89,1,132,2022-03-20,2.10,12,315,18,
16874048,"See Belize TRANQUIL Sea View Studio w POOL, 2nd Fl",84574598,Zenaida,Belize,Belize Mainland,17.5394,-88.24378,Entire home/apt,192,1,30,2021-08-22,0.49,7,365,2,
16874540,"See Belize WATERSIDE Sea View 2-BR w POOL, 2nd Flo",84574598,Zenaida,Belize,Belize Mainland,17.53943,-88.24406,Entire home/apt,373,1,73,2022-01-23,1.17,7,362,3,
16899379,Earth Mini Apartment,84937380,Marta,Cayo,Cayo,17.24997,-88.76117,Private room,69,1,1,2018-02-09,0.02,7,362,0,
16915657,Chapito's 3: central location.Gold Standard,911311,Hilda,Belize,Belize Islands,17.74073,-88.02564,Entire home/apt,67,1,103,2022-03-17,1.65,12,351,3,
16942667,"BAYSHORE Bijou Suites - ""AMBER Suite""",23621424,Wildmans,Stann Creek,Stann Creek Mainland,16.6148,-88.35423,Entire home/apt,245,2,27,2022-01-04,0.45,4,141,5,
16975025,Cabana Toucan Bed-& Breakfast in the jungle,54254514,Marisa,Toledo,Toledo Mainland,16.09839,-88.80862,Private room,143,2,21,2022-02-22,0.35,4,353,2,
17015639,Economy D-Town Overnight  w/ parking,4642236,Polo,Cayo,Cayo,17.15869,-89.07078,Private room,119,2,73,2022-03-20,1.18,5,360,10,
17107437,Tri Tan Beach Cabanas,114269146,Arthur,Stann Creek,Stann Creek Mainland,16.51548,-88.36584,Entire home/apt,175,2,110,2022-03-13,1.77,2,339,13,
17108207,riverside cabana near san ignacio,84127503,Chantal,Cayo,Cayo,17.17245,-89.11208,Private room,141,1,0,,,1,365,0,
17136488,Caye Reef 2 bedroom 2nd floor oceanfront villa,115192371,Stuart,Belize,Belize Islands,17.74824,-88.02346,Entire home/apt,581,2,21,2022-03-09,0.36,6,284,6,
17208772,"Feel at home, away from home at Vista Segunda",115825277,Stephen,Cayo,Cayo,17.15975,-89.0771,Entire home/apt,101,1,60,2022-03-14,1.35,6,143,18,
17219751,Couple's Modern Jungle Loft,105345185,Ydahlia,Cayo,Cayo,17.09784,-88.95008,Private room,161,1,11,2021-12-14,0.19,4,154,1,
